"id","x","y","stars"
497,"5.770331382751465","3.4565799236297607",3
77338,"4.298679828643799","3.390812397003174",2
68718,"6.337584495544434","1.3592721223831177",1
37165,"5.961516857147217","3.3123066425323486",5
185,"7.022794246673584","4.553773880004883",4
103,"7.286782264709473","4.797726154327393",5
1891,"7.030945301055908","4.039916038513184",5
299536,"6.271691799163818","1.2549078464508057",5
157336,"6.513327121734619","1.0040417909622192",5
120,"6.775633335113525","1.2738819122314453",5
278,"6.823423385620117","1.1253870725631714",5
299534,"6.299156188964844","1.2877607345581055",5
121,"6.608994007110596","1.7343387603759766",5
129,"5.4508514404296875","3.517019271850586",5
324857,"3.7169535160064697","3.58232045173645",5
122,"6.756618976593018","1.4089213609695435",5
27205,"6.5171122550964355","1.0165808200836182",5
155,"6.374378204345703","0.9494825005531311",5
13,"6.785274982452393","1.052189826965332",3
475557,"6.245982646942139","1.3993221521377563",5
8587,"6.1953864097595215","3.3172595500946045",3
11324,"6.567754745483398","1.5338163375854492",1
550,"6.79256010055542","1.0616110563278198",1
11,"7.048016548156738","3.9127354621887207",5
603,"6.887947082519531","1.1529415845870972",4
680,"6.821839809417725","1.077713131904602",1
98,"5.867692947387695","3.28417706489563",5
975,"9.457840919494629","9.925152778625488",1
105,"6.917495250701904","3.8443386554718018",5
244786,"3.8315086364746094","3.6645259857177734",1
16869,"6.507870674133301","1.6361552476882935",3
77,"5.625015735626221","3.798339605331421",1
274,"6.249908447265625","3.85630202293396",1
